name,P_obs,f_coarse,f_medium,f_fine,f_field,f_forest,f_expl,f_other
Hovmanneån,0.659,0.312134697130712,0.1926363797378675,0.4952289231314205,0.7652209528869997,0.06549991144172866,0.06429330499468651,0.10498583067658517
Skörvallabäcken,0.344,0.3675864168488639,0.5615642210721501,0.07084936207898597,0.4493676140923809,0.251459884316276,0.06415188331995683,0.2350206182713863
Stockaån,0.417,0.11299627565054404,0.5637399284340693,0.3232637959153867,0.6090650178914827,0.11404298824273995,0.060985208084840516,0.21590678578093683
Ölmevallabäcken,0.419,0.8287224417884863,0.0,0.17127755821151375,0.6213513642207514,0.12356554449788106,0.09066234941193277,0.16442074186943476
Kyviksbäcken,0.218,0.02450765864332604,0.9684901531728666,0.00700218818380744,0.5185995623632386,0.08708971553610503,0.15711159737417943,0.237199124726477
Löftaån Idebäck,0.269,0.5005814425183222,0.4994185574816778,0.0,0.6270113854558239,0.1858722989966736,0.06793412121048219,0.1191821943370203
Löftaån Skärbäck,0.124,0.46232873405621483,0.5376712659437852,0.0,0.6099046993733526,0.19184682379522436,0.05426438923595354,0.14398408759546955
Knapabäcken,0.498,0.3456914321783985,0.014084090303873125,0.6402244775177284,0.5928435462713653,0.13464705940369462,0.056099653815427405,0.21640974050951273
Lundaån,0.655,0.6101219701276551,0.003398108429376195,0.3864799214429686,0.6568298103261151,0.12048426275259703,0.05999018037107861,0.16269574655020924
Löftaån Kullagärdsbäcken,0.231,0.5889725751739205,0.41102742482607946,0.0,0.7224745587305238,0.12484907721497154,0.042114643822227335,0.11056172023227732
Torpaån,0.357,0.6898278043681576,0.24730153490675028,0.06287066072509215,0.6401056279914177,0.10347141992628046,0.07483083016999505,0.18159212191230684
Nedströms Lindome-Hede,0.453,0.43161988981628163,0.04361241813065992,0.5247676920530584,0.5756981060695623,0.11237084151041543,0.09285224505237273,0.21907880736764956
Uppströms Lindome,0.146,0.5531848969145633,0.07487094955103457,0.3719441535344021,0.45646987376914067,0.2341312875299775,0.07262147473833588,0.23677736396254603
Hallabäcken,0.384,0.5960224375318715,0.11803501614822369,0.2859425463199048,0.16539180690124086,0.13571307156212817,0.06615672276049635,0.6327383987761346
Söderån,0.854,0.19640423524478456,0.0,0.8035957647552154,0.5801970856483908,0.10153055875877974,0.08706363350456023,0.23120872208826923
Utloppet,0.441,0.7582277439526082,0.046157643574131976,0.19561461247325984,0.39772914266908016,0.123498436728649,0.12555537271680106,0.3532170478854698
Lillån,0.329,0.24786377785770095,0.21642503689556386,0.5357111852467352,0.5773690672553421,0.1439113018243151,0.06425408951669911,0.21446554140364368
